종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,종목명_전처리,종목코드_x,매출액,영업이익,당기순이익,영업이익률,순이익률,ROE(지배주주),부채비율,당좌비율,유보율,EPS(원),PER(배),BPS(원),PBR(배),주당배당금(원),시가배당률(%),배당성향(%),시가총액,시가총액순위,상장주식수,액면가l매매단위,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),투자의견l목표주가,52주최고l최저,PERlEPS(2023.03),추정PERlEPS,PBRlBPS (2023.03),배당수익률,동일업종 PER,동일업종 등락률,종목코드_y,배당수익률l2022.12,PERlEPS(2022.12),PBRlBPS (2022.12),PERlEPS(2023.06),PBRlBPS (2023.06),PERlEPS(2023.05),PBRlBPS (2023.05),배당수익률l2022.11
비피도 *,6790.0,90.0,+1.34%,6800.0,6850.0,13596.0,93.0,9438.0,23-08-21,비피도,238200,,,,,,,,,,,,,,,,,"3,588  억원",코스닥 212위,64185876,100원  l  1주,64185876,2950538,4.60%,N/A  l  N/A,"7,656  l  5,100",N/A  l  -103원,N/A  l  N/A,6.53배  l  856원,,88.07배,-0.21%,041960,,,,,,,,
HLB제약 *,12670.0,160.0,+1.28%,12640.0,12710.0,131285.0,1672.0,206428.0,23-08-21,HLB제약,047920,,,,,,,,,,,,,,,,,730  억원,코스닥 1073위,54802263,100원  l  1주,54802263,415766,0.76%,N/A  l  N/A,"1,725  l  1,085",19.59배  l  68원,N/A  l  N/A,1.96배  l  681원,,88.07배,-0.14%,359090,,,,,,,,
동아에스티,63200.0,800.0,+1.28%,63300.0,63400.0,31322.0,1976.0,71287.0,23-08-21,동아에스티,170900,5002.0,208.0,295.0,4.15,5.9,,,,,366.0,183.27,,,,,,725  억원,코스피 979위,1180940,"1,000원  l  1주",1180940,0,0.00%,"4.00매수  l  85,053","65,000  l  48,717","47.09배  l  1,304원","47.00배  l  1,320원","2.22배  l  27,596원",,88.07배,-0.14%,000105,0.67%,,,,,,,
큐리언트 *,7180.0,90.0,+1.27%,7200.0,7210.0,21130.0,152.0,42949.0,23-08-21,큐리언트,115180,788.0,-204.0,-230.0,-25.87,-29.13,,,,,-272.0,-354.48,,,,,,"6조  8,602  억원",코스피 52위,78313250,500원  l  1주,78313250,5805930,7.41%,"4.00매수  l  116,250","103,000  l  50,900","N/A  l  -1,361원",-154.00배  l  -568원,"21.69배  l  4,038원",,88.07배,-0.14%,326030,,,,,,,,
코미팜 *,5610.0,70.0,+1.26%,5600.0,5620.0,193866.0,1099.0,206089.0,23-08-21,코미팜,041960,871,42,-,4.82,,,,,,-15,-357.55,,,,,,"1,054  억원",코스닥 800위,20628000,500원  l  1주,20628000,315806,1.53%,"4.00매수  l  7,575","6,230  l  3,795",N/A  l  -759원,-55.00배  l  -93원,"2.47배  l  2,069원",,88.07배,-0.14%,222040,,,,,,,,
씨엔알리서치 *,1334.0,16.0,+1.21%,1332.0,1334.0,183503.0,245.0,183254.0,23-08-21,씨엔알리서치,359090,,,,,,,,,,,,,,,,,"1,442  억원",코스닥 607위,9731373,500원  l  1주,9731373,323303,3.32%,N/A  l  N/A,"26,300  l  13,130",,N/A  l  N/A,,,88.07배,-0.14%,065660,,,,N/A  l  -381원,"1.23배  l  12,052원",,,
유한양행우,61100.0,700.0,+1.16%,61300.0,61700.0,1575.0,96.0,1343.0,23-08-21,유한양행우,000105,,,,,,,,,,,,,,,,,845  억원,코스피 912위,21159832,"1,000원  l  1주",21159832,406733,1.92%,N/A  l  N/A,"6,704  l  3,590",,N/A  l  N/A,,,88.07배,-0.14%,002720,,23.78배  l  168원,"1.08배  l  3,697원",,,,,
SK바이오팜,87400.0,900.0,+1.04%,87600.0,87700.0,211529.0,18665.0,265782.0,23-08-21,SK바이오팜,326030,,,,,,,,,,,,,,,,,713  억원,코스닥 1093위,12000000,500원  l  1주,12000000,115341,0.96%,N/A  l  N/A,"7,120  l  5,320","5.34배  l  1,113원",N/A  l  N/A,"0.81배  l  7,306원",,88.07배,-0.14%,007370,2.53%,,,,,,,
코스맥스엔비티 *,5110.0,50.0,+0.99%,5100.0,5120.0,26825.0,137.0,103803.0,23-08-21,코스맥스엔비티,222040,,,,,,,,,,,,,,,,,934  억원,코스닥 884위,13192778,200원  l  1주,13192778,73533,0.56%,N/A  l  N/A,"10,650  l  5,960",,N/A  l  N/A,,,88.07배,-0.14%,330350,,,,58.03배  l  122원,"1.10배  l  6,452원",,,
안트로젠 *,14780.0,140.0,+0.96%,14860.0,14940.0,10610.0,158.0,14133.0,23-08-21,안트로젠,065660,,,,,,,,,,,,,,,,,"3,308  억원",코스피 449위,52420851,"1,000원  l  1주",52420851,9979814,19.04%,N/A  l  N/A,"7,490  l  5,370",10.80배  l  584원,N/A  l  N/A,"0.49배  l  12,850원",,88.07배,-0.14%,009290,1.59%,,,,,,,
국제약품,4005.0,35.0,+0.88%,4005.0,4010.0,75466.0,302.0,88720.0,23-08-21,국제약품,002720,,,,,,,,,,,,,,,,,"8,157  억원",코스피 251위,58141980,500원  l  1주,58141980,3044889,5.24%,N/A  l  N/A,"25,800  l  11,460","6.94배  l  2,022원",N/A  l  N/A,"0.69배  l  20,443원",,88.07배,-0.14%,003090,0.71%,,,,,,,
진양제약 *,5940.0,50.0,+0.85%,5910.0,5920.0,24240.0,143.0,26158.0,23-08-21,진양제약,007370,,,,,,,,,,,,,,,,,"1,228  억원",코스닥 699위,17752276,500원  l  1주,17752276,274332,1.55%,N/A  l  N/A,"10,100  l  5,910",14.69배  l  471원,N/A  l  N/A,"1.28배  l  5,389원",,88.07배,-0.14%,234690,1.45%,,,,,,,
위더스제약 *,7120.0,60.0,+0.85%,7090.0,7100.0,13300.0,95.0,53314.0,23-08-21,위더스제약,330350,,,,,,,,,,,,,,,,,379  억원,코스닥 1446위,3800000,500원  l  1주,3800000,161825,4.26%,N/A  l  N/A,"19,450  l  9,680",302.12배  l  33원,N/A  l  N/A,"0.98배  l  10,185원",,88.07배,-0.21%,036480,0.75%,,,,,,,
듀켐바이오,6080.0,50.0,+0.83%,6010.0,6060.0,2553.0,15499.0,413.0,23-08-21,듀켐바이오,176750,,,,,,,,,,,,,,,,,378  억원,코스닥 1448위,28889293,500원  l  1주,28889293,592524,2.05%,N/A  l  N/A,"2,305  l  1,249",654.00배  l  2원,N/A  l  N/A,"1.08배  l  1,208원",,88.07배,-0.21%,018620,,,,,,,,
광동제약,6310.0,50.0,+0.80%,6330.0,6340.0,63483.0,400.0,73444.0,23-08-21,광동제약,009290,,,,,,,,,,,,,,,,,"1,760  억원",코스닥 494위,10906701,500원  l  1주,10906701,63805,0.59%,N/A  l  N/A,"35,600  l  15,020",,N/A  l  N/A,,,88.07배,-0.08%,032300,0.31%,,,N/A  l  -278원,"2.99배  l  5,396원",,,
대웅,14030.0,110.0,+0.79%,14070.0,14090.0,66599.0,932.0,68863.0,23-08-21,대웅,003090,5002.0,208.0,295.0,4.15,5.9,,,,,366.0,183.27,,,,,,"5조  6,559  억원",코스피 64위,76638657,"1,000원  l  1주",76638657,14908590,19.45%,"4.00매수  l  85,053","78,900  l  49,950","56.60배  l  1,304원","56.00배  l  1,320원","2.67배  l  27,596원",,88.07배,-0.14%,000100,0.52%,,,,,,,
녹십자웰빙 *,6920.0,50.0,+0.73%,6880.0,6920.0,16512.0,114.0,11338.0,23-08-21,녹십자웰빙,234690,,,,,,,,,,,,,,,,,"4,620  억원",코스닥 156위,15223000,500원  l  1주,15223000,463957,3.05%,N/A  l  N/A,"97,800  l  27,150",N/A  l  -485원,N/A  l  N/A,"21.87배  l  1,388원",,88.07배,-0.21%,323990,,,,,,,,
