종목코드,탭코드,종목명,현재가,등락구분,전일비,등락률,순자산가치(NAV),3개월수익률,거래량,거래대금(백만),시가총액(억),유형,브랜드,인버스,레버리지,환헤지H
243880,2,TIGER 200IT레버리지,42675,5,-340,-0.79,42705.0,19.0397,2667,113,320,국내 업종/테마,TIGER,False,True,False
337160,2,KODEX 200ESG,12745,5,-40,-0.31,12750.0,8.3015,39,0,319,국내 업종/테마,KODEX,False,False,False
261250,7,KODEX 미국달러선물레버리지,12165,2,110,0.91,12177.0,-4.7413,33467,406,316,기타,KODEX,False,True,False
308620,6,KODEX 미국채10년선물,10900,3,0,0.0,10894.0,-6.7181,9259,100,316,채권,KODEX,False,False,False
292190,1,KODEX KRX300,16620,5,-85,-0.51,16634.0,8.8273,1134,18,316,국내 시장지수,KODEX,False,False,False
452250,6,ACE 미국30년국채선물레버리지(합성 H),7865,5,-230,-2.84,7857.0,-12.0587,113936,895,315,채권,ACE,False,True,True
248270,4,TIGER S&P글로벌헬스케어(합성),19950,5,-45,-0.23,20025.0,-2.819,152,3,307,해외 주식,TIGER,False,False,False
332620,6,ARIRANG 미국장기우량회사채,84605,5,-505,-0.59,84491.0,-6.2562,5625,477,305,채권,ARIRANG,False,False,False
250780,3,TIGER 코스닥150선물인버스,3535,2,40,1.14,3539.0,-16.8847,699715,2467,300,국내 파생,TIGER,True,False,False
391600,4,ACE 미국친환경그린테마INDXX,10840,5,-60,-0.55,10859.0,10.268,671,7,293,해외 주식,ACE,False,False,False
429000,4,TIGER 미국S&P500배당귀족,10615,2,30,0.28,10629.0,0.5796,9091,96,292,해외 주식,TIGER,False,False,False
266360,2,KODEX 미디어&엔터테인먼트,13265,5,-115,-0.86,13257.0,-2.6201,6270,83,292,국내 업종/테마,KODEX,False,False,False
450910,1,SOL 코스닥150,15020,5,-70,-0.46,15067.0,17.9366,106,1,291,국내 시장지수,SOL,False,False,False
310960,1,TIGER 200TR,19425,5,-120,-0.61,19471.0,7.8047,282,5,291,국내 시장지수,TIGER,False,False,False
287180,4,ARIRANG 미국나스닥테크,26340,2,170,0.65,26331.0,23.4142,4670,122,290,해외 주식,ARIRANG,False,False,False
236350,4,TIGER 인도니프티50레버리지(합성),28155,2,120,0.43,28450.0,5.4145,1161,33,287,해외 주식,TIGER,False,True,False
341850,7,TIGER 리츠부동산인프라채권TR KIS,4720,5,-15,-0.32,4735.0,0.3177,450,2,286,기타,TIGER,False,False,False
169950,4,KODEX 차이나A50,18960,2,105,0.56,18922.0,-3.997,307,5,284,해외 주식,KODEX,False,False,False
375770,2,KODEX 탄소효율그린뉴딜,8865,5,-35,-0.39,8864.0,7.7481,20,0,284,국내 업종/테마,KODEX,False,False,False
446700,2,KBSTAR 배터리 리사이클링iSelect,16505,2,40,0.24,16509.0,11.4759,11593,191,281,국내 업종/테마,KBSTAR,False,False,False
130680,5,TIGER 원유선물Enhanced(H),4515,2,35,0.78,4513.0,7.8219,65998,297,280,원자재,TIGER,False,False,True
456250,4,KODEX 유럽명품TOP10 STOXX,9315,5,-80,-0.85,9361.0,-5.7674,5709,53,279,해외 주식,KODEX,False,False,False
396510,4,TIGER 차이나클린에너지SOLACTIVE,6960,2,40,0.58,6998.0,-13.7158,3358,23,276,해외 주식,TIGER,False,False,False
218420,4,KODEX 미국S&P500에너지(합성),13135,2,25,0.19,13133.0,-0.6442,4916,64,274,해외 주식,KODEX,False,False,False
