종목명,현재가,전일비,등락률,매수호가,매도호가,거래량,거래대금,전일거래량,조회일자,매출액,영업이익,당기순이익,영업이익률,순이익률,EPS(원)_x,PER(배)_x,상장주식수,외국인한도주식수(A),외국인보유주식수(B),외국인소진율(B/A),동일업종 PER,동일업종 등락률,종목코드,코스피/코스닥,시가총액(억원),시가총액순위(전처리),52주최고,52주최저,52주차액,52주차액비율,현재-최고가,현재/최고가비율,투자의견,목표주가,매수매도,PER(배)_y,EPS(원)_y,PBR(배),BPS(원),배당수익률%
노브메타파마,20500.0,0.0,0.00%,0.0,0.0,0.0,0.0,0.0,23-08-21,,,,,,,,17032351,17032351,254616,1.49%,88.07,-0.08%,000220,코스피,799,930,7000,4380,2620,1.5981735159817352,13500.0,2.9285714285714284,,,,,-386,0.77,6118.0,2.24
프롬바이오 *,7600.0,0.0,0.00%,7590.0,7610.0,80358.0,607.0,203920.0,23-08-21,,,,,,,,13042420,13042420,522180,4.00%,88.07,-0.21%,001540,코스닥,1012,831,10250,7140,3110,1.4355742296918768,-2650.0,0.7414634146341463,,,,12.2,636,0.57,13602.0,2.84
카이바이오텍,23000.0,0.0,0.00%,21000.0,0.0,0.0,0.0,0.0,23-08-21,,,,,,,,26100970,26100970,1243678,4.76%,88.07,-0.14%,002210,코스피,1501,713,8240,5390,2850,1.528756957328386,14760.0,2.79126213592233,,,,205.36,28,3.15,1828.0,
콜마비앤에이치 *,18140.0,10.0,-0.06%,18110.0,18170.0,75723.0,1381.0,87391.0,23-08-21,,,,,,,,72508159,72508159,1603401,2.21%,88.07,-0.21%,096760,코스닥,3092,476,4485,2592,1893,1.7303240740740742,13655.0,4.044593088071349,,,,9.33,457,2.53,1687.0,2.28
프레스티지바이오로직스 *,4720.0,5.0,-0.11%,4685.0,4700.0,118579.0,555.0,181020.0,23-08-21,,,,,,,,11412356,11412356,150091,1.32%,88.07,-0.08%,102940,코스닥,3281,239,50600,24500,26100,2.0653061224489795,-45880.0,0.0932806324110672,,,,991.38,29,1.98,14551.0,
경동제약 *,6710.0,10.0,-0.15%,6690.0,6710.0,16371.0,110.0,32437.0,23-08-21,,,,,,,,14704872,14704872,407621,2.77%,88.07,-0.14%,271980,코스닥,2507,541,24600,15900,8700,1.5471698113207548,-17890.0,0.2727642276422764,,,,63.62,268,1.47,11566.0,0.29
대한약품 *,27650.0,50.0,-0.18%,27600.0,27700.0,13711.0,379.0,25608.0,23-08-21,,,,,,,,13855342,13855342,118338,0.85%,88.07,-0.14%,365270,코스닥,1773,492,18200,8710,9490,2.08955223880597,9450.0,1.5192307692307692,,,,,-848,4.0,3201.0,
중앙백신 *,10790.0,20.0,-0.19%,10790.0,10800.0,19517.0,211.0,27305.0,23-08-21,,,,,,,,12641883,12641883,570612,4.51%,88.07,-0.08%,044960,코스닥,637,1161,7750,4800,2950,1.6145833333333333,3040.0,1.392258064516129,,,,23.12,218,1.41,3584.0,0.79
유유제약,4710.0,10.0,-0.21%,4700.0,4705.0,16616.0,78.0,24610.0,23-08-21,,,,,,,,16153162,16153162,411030,2.54%,88.07,-0.14%,131030,코스피,812,993,7360,4720,2640,1.5593220338983051,-2650.0,0.6399456521739131,,,,16.77,300,0.61,8254.0,1.99
안지오랩,7980.0,20.0,-0.25%,7620.0,7990.0,202.0,1546.0,360.0,23-08-21,454.0,58.0,36.0,12.65,7.92,157.0,64.6,31761048,31761048,1726497,5.44%,88.07,-0.14%,053030,코스피,2871,286,15400,9020,6380,1.7073170731707317,-7420.0,0.5181818181818182,4.0,17000.0,매수,16.29,555,1.41,6396.0,
